code,name,market,industry,listed
180640,한진칼,KOSPI,기타 금융업,2013-09-16
181710,NHN,KOSPI,소프트웨어 개발 및 공급업,2013-08-29
175330,JB금융지주,KOSPI,기타 금융업,2013-07-18
155660,DSR,KOSPI,1차 비철금속 제조업,2013-05-15
170900,동아에스티,KOSPI,의약품 제조업,2013-04-08
013870,지엠비코리아,KOSPI,자동차 신품 부품 제조업,2012-11-20
037560,LG헬로비전,KOSPI,텔레비전 방송업,2012-11-09
163560,동일고무벨트,KOSPI,고무제품 제조업,2012-10-19
161890,한국콜마,KOSPI,기타 화학제품 제조업,2012-10-19
161390,한국타이어앤테크놀로지,KOSPI,고무제품 제조업,2012-10-04
161000,애경케미칼,KOSPI,기초 화학물질 제조업,2012-09-17
014710,사조씨푸드,KOSPI,수산물 가공 및 저장 처리업,2012-06-29
079980,휴비스,KOSPI,화학섬유 제조업,2012-02-23
145270,케이탑리츠,KOSPI,부동산 임대 및 공급업,2012-01-31
007070,GS리테일,KOSPI,종합 소매업,2011-12-23
129260,인터지스,KOSPI,도로 화물 운송업,2011-12-16
145990,삼양사,KOSPI,기타 식품 제조업,2011-12-05
039130,하나투어,KOSPI,여행사 및 기타 여행보조 서비스업,2011-11-01
078520,에이블씨엔씨,KOSPI,기타 화학제품 제조업,2011-09-07
023000,삼원강재,KOSPI,자동차 신품 부품 제조업,2011-07-22
031430,신세계인터내셔날,KOSPI,섬유  의복  신발 및 가죽제품 소매업,2011-07-14
047810,한국항공우주,KOSPI,항공기 우주선 및 부품 제조업,2011-06-30
071840,롯데하이마트,KOSPI,가전제품 및 정보통신장비 소매업,2011-06-29
069640,한세엠케이,KOSPI,섬유  의복  신발 및 가죽제품 소매업,2011-06-21
139480,이마트,KOSPI,종합 소매업,2011-06-10
139130,iM금융지주,KOSPI,기타 금융업,2011-06-07
053210,케이티스카이라이프,KOSPI,텔레비전 방송업,2011-06-03
138040,메리츠금융지주,KOSPI,기타 금융업,2011-05-13
023350,한국종합기술,KOSPI,건축기술  엔지니어링 및 관련 기술 서비스업,2011-04-28
138930,BNK금융지주,KOSPI,기타 금융업,2011-03-30
020150,롯데에너지머티리얼즈,KOSPI,전자부품 제조업,2011-03-04
